,Total Entries,Total Exits
1/1/2019,"1,492","1,587"
1/2/2019,"4,985","4,730"
1/3/2019,"5,368","5,045"
1/4/2019,"5,545","5,236"
1/5/2019,"2,730","2,591"
1/6/2019,"1,843","1,795"
1/7/2019,"5,556","5,311"
1/8/2019,"6,039","5,745"
1/9/2019,"6,007","5,496"
1/10/2019,"6,010","5,524"
1/11/2019,"6,167","5,654"
1/12/2019,"2,660","2,560"
1/13/2019,"1,653","1,805"
1/14/2019,"3,267","3,056"
1/15/2019,"6,335","5,776"
1/16/2019,"6,443","5,783"
1/17/2019,"6,370","5,837"
1/18/2019,"6,401","5,883"
1/19/2019,"2,958","2,766"
1/20/2019,"1,840","1,785"
1/22/2019,"5,426","5,158"
1/23/2019,"5,789","5,323"
1/24/2019,"5,971","5,419"
1/25/2019,"6,256","5,711"
1/26/2019,"2,819","2,617"
1/27/2019,"1,847","1,822"
1/28/2019,"6,276","5,864"
1/29/2019,"6,233","6,004"
1/30/2019,"5,973","5,363"
1/31/2019,"5,833","5,256"
2/1/2019,"6,148","5,560"
2/2/2019,"2,953","2,864"
2/3/2019,"2,012","1,988"
2/4/2019,"6,307","5,991"
2/5/2019,"6,680","6,192"
2/6/2019,"6,603","6,175"
2/7/2019,"6,602","6,054"
2/8/2019,"6,555","6,016"
2/9/2019,"3,018","2,776"
2/10/2019,"2,071","2,048"
2/11/2019,"5,906","5,471"
2/12/2019,"6,406","5,877"
2/13/2019,"6,773","6,103"
2/14/2019,"6,622","5,979"
2/15/2019,"6,281","5,417"
2/16/2019,"2,565","2,603"
2/17/2019,"1,844","1,800"
2/19/2019,"5,776","5,406"
2/20/2019,"2,254","2,062"
2/21/2019,"5,826","5,163"
2/22/2019,"5,742","5,146"
2/23/2019,"2,610","2,481"
2/24/2019,"1,756","1,866"
2/25/2019,"6,215","5,868"
2/26/2019,"6,455","5,881"
2/27/2019,"6,408","5,943"
2/28/2019,"6,664","5,986"
3/1/2019,"6,143","5,467"
3/2/2019,"2,890","2,796"
3/3/2019,"1,812","1,765"
3/4/2019,"6,203","5,839"
3/5/2019,"6,551","6,009"
3/6/2019,"6,554","5,937"
3/7/2019,"6,551","6,048"
3/8/2019,"5,910","5,364"
3/9/2019,"4,096","3,593"
3/10/2019,"2,027","2,007"
3/11/2019,"6,448","5,896"
3/12/2019,"6,617","6,048"
3/13/2019,"6,514","6,057"
3/14/2019,"6,512","5,925"
3/15/2019,"6,219","5,637"
3/16/2019,"3,153","2,965"
3/17/2019,"2,013","1,956"
3/18/2019,"6,164","5,785"
3/19/2019,"6,564","6,171"
3/20/2019,"6,740","6,098"
3/21/2019,"6,115","5,691"
3/22/2019,"6,216","5,676"
3/23/2019,"3,308","3,289"
3/24/2019,"2,218","2,316"
3/25/2019,"6,218","5,827"
3/26/2019,"6,717","6,107"
3/27/2019,"6,739","6,120"
3/28/2019,"6,802","6,157"
3/29/2019,"6,529","5,869"
3/30/2019,"4,007","3,964"
3/31/2019,"2,214","2,196"
4/1/2019,"6,504","6,038"
4/2/2019,"6,659","6,341"
4/3/2019,"7,246","6,610"
4/4/2019,"6,465","5,926"
4/5/2019,"6,332","5,652"
4/6/2019,"4,095","4,186"
4/7/2019,"2,495","2,557"
4/8/2019,"6,524","6,060"
4/9/2019,"6,865","6,261"
4/10/2019,"6,821","6,203"
4/11/2019,"6,785","6,161"
4/12/2019,"6,439","5,862"
4/13/2019,"3,804","3,623"
4/14/2019,"2,261","2,350"
4/15/2019,"5,505","5,133"
4/16/2019,"5,601","5,233"
4/17/2019,"5,892","5,403"
4/18/2019,"5,924","5,370"
4/19/2019,"5,109","4,616"
4/20/2019,"3,169","2,947"
4/21/2019,"2,071","2,156"
4/22/2019,"5,759","5,505"
4/23/2019,"6,548","6,071"
4/24/2019,"6,727","6,221"
4/25/2019,"6,487","5,965"
4/26/2019,"6,350","5,841"
4/27/2019,"3,493","3,311"
4/28/2019,"2,202","2,164"
4/29/2019,"6,216","5,779"
4/30/2019,"6,591","5,985"
5/1/2019,"6,715","6,083"
5/2/2019,"6,615","6,099"
5/3/2019,"6,648","6,026"
5/4/2019,"3,332","3,229"
5/5/2019,"1,873","1,885"
5/6/2019,"6,296","5,865"
5/7/2019,"6,709","6,301"
5/8/2019,"6,622","6,241"
5/9/2019,"6,573","6,019"
5/10/2019,"6,473","5,883"
5/11/2019,"3,278","3,183"
5/12/2019,"1,966","1,889"
5/13/2019,"6,256","5,798"
5/14/2019,"6,760","6,258"
5/15/2019,"6,853","6,337"
5/16/2019,"6,869","6,094"
5/17/2019,"6,770","6,046"
5/18/2019,"3,449","3,340"
5/19/2019,"2,341","2,342"
5/20/2019,"6,300","5,726"
5/21/2019,"6,595","6,044"
5/22/2019,"6,665","6,092"
5/23/2019,"6,548","5,900"
5/24/2019,"6,489","5,669"
5/25/2019,"3,166","2,944"
5/26/2019,"2,456","2,402"
5/27/2019,"2,492","2,556"
5/28/2019,"5,918","5,584"
5/29/2019,"6,628","6,044"
5/30/2019,"6,535","5,988"
5/31/2019,"6,560","5,924"
6/1/2019,"3,326","3,155"
6/2/2019,"2,199","2,295"
6/3/2019,"6,567","6,047"
6/4/2019,"6,953","6,403"
6/5/2019,"6,941","6,357"
6/6/2019,"6,821","6,244"
6/7/2019,"6,605","6,029"
6/8/2019,"3,934","3,864"
6/9/2019,"2,431","2,414"
6/10/2019,"6,387","5,786"
6/11/2019,"6,712","6,256"
6/12/2019,"6,737","6,153"
6/13/2019,"6,752","6,091"
6/14/2019,"6,768","6,201"
6/15/2019,"3,528","3,430"
6/16/2019,"2,293","2,376"
6/17/2019,"5,837","5,492"
6/18/2019,"6,055","5,722"
6/19/2019,"6,456","5,987"
6/20/2019,"6,176","5,640"
6/21/2019,"6,402","5,829"
6/22/2019,"3,639","3,473"
6/23/2019,"2,560","2,527"
6/24/2019,"6,065","5,715"
6/25/2019,"6,243","5,839"
6/26/2019,"6,466","6,024"
6/27/2019,"6,404","5,874"
6/28/2019,"6,245","5,596"
6/29/2019,"3,329","3,174"
6/30/2019,"2,321","2,289"
7/1/2019,"5,996","5,709"
7/2/2019,"6,150","5,698"
7/3/2019,"6,270","5,682"
7/5/2019,"4,644","4,184"
7/6/2019,"2,993","2,807"
7/7/2019,"2,202","2,264"
7/8/2019,"5,488","5,202"
7/9/2019,"6,378","5,964"
7/10/2019,"6,415","5,899"
7/11/2019,"6,092","5,586"
7/12/2019,"6,416","5,826"
7/13/2019,"3,343","3,176"
7/14/2019,"2,255","2,296"
7/15/2019,"6,007","5,671"
7/16/2019,"6,332","5,864"
7/17/2019,"6,305","5,772"
7/18/2019,"6,400","5,898"
7/19/2019,"6,224","5,706"
7/20/2019,"3,092","3,182"
7/21/2019,"2,213","2,224"
7/22/2019,"5,763","5,418"
7/23/2019,"6,366","5,933"
7/24/2019,"6,469","5,938"
7/25/2019,"6,360","5,767"
7/26/2019,"6,260","5,703"
7/27/2019,"3,506","3,285"
7/28/2019,"2,430","2,389"
7/29/2019,"5,684","5,361"
7/30/2019,"6,195","5,787"
7/31/2019,"6,000","5,581"
8/1/2019,"6,224","5,647"
8/2/2019,"5,854","5,287"
8/3/2019,"3,058","2,918"
8/4/2019,"2,160","2,194"
8/5/2019,"5,652","5,271"
8/6/2019,"5,898","5,476"
8/7/2019,"5,837","5,493"
8/8/2019,"5,989","5,499"
8/9/2019,"5,993","5,308"
8/10/2019,"2,991","2,912"
8/11/2019,"2,152","2,183"
8/12/2019,"5,513","5,319"
8/13/2019,"5,798","5,510"
8/14/2019,"6,022","5,563"
8/15/2019,"5,890","5,494"
8/16/2019,"6,006","5,438"
8/17/2019,"3,331","3,144"
8/18/2019,"2,251","2,356"
8/19/2019,"5,535","5,273"
8/20/2019,"5,791","5,351"
8/21/2019,"6,051","5,647"
8/22/2019,"6,147","5,625"
8/23/2019,"5,682","5,304"
8/24/2019,"3,353","3,292"
8/25/2019,"2,284","2,303"
8/26/2019,"6,180","5,940"
8/27/2019,"6,574","6,165"
8/28/2019,"6,429","6,090"
8/29/2019,"6,565","6,109"
8/30/2019,"6,671","6,162"
8/31/2019,"3,090","2,957"
9/1/2019,"2,385","2,295"
9/2/2019,"2,147","2,342"
9/3/2019,"6,640","6,403"
9/4/2019,"6,794","6,408"
9/5/2019,"6,871","6,434"
9/6/2019,"6,597","6,146"
9/7/2019,"3,471","3,488"
9/8/2019,"2,298","2,321"
9/9/2019,"6,554","6,360"
9/10/2019,"6,806","6,505"
9/11/2019,"6,858","6,609"
9/12/2019,"6,956","6,510"
9/13/2019,"6,902","6,338"
9/14/2019,"3,850","3,708"
9/15/2019,"2,554","2,571"
9/16/2019,"6,697","6,312"
9/17/2019,"7,048","6,611"
9/18/2019,"7,103","6,524"
9/19/2019,"7,095","6,530"
9/20/2019,"6,955","6,365"
9/21/2019,"3,763","3,710"
9/22/2019,"2,532","2,488"
9/23/2019,"6,925","6,378"
9/24/2019,"7,147","6,744"
9/25/2019,"7,205","6,680"
9/26/2019,"7,120","6,663"
9/27/2019,"7,195","6,654"
9/28/2019,"3,662","3,331"
9/29/2019,"2,630","2,565"
9/30/2019,"6,361","6,140"
10/1/2019,"7,090","6,668"
10/2/2019,"7,032","6,618"
10/3/2019,"7,044","6,531"
10/4/2019,"7,166","6,567"
10/5/2019,"4,677","4,410"
10/6/2019,"2,620","2,596"
10/7/2019,"6,964","6,462"
10/8/2019,"7,059","6,731"
10/9/2019,"7,189","6,760"
10/10/2019,"7,172","6,749"
10/11/2019,"6,708","6,117"
10/12/2019,"3,879","3,682"
10/13/2019,"2,700","2,719"
10/15/2019,"7,154","6,674"
10/16/2019,"6,814","6,427"
10/17/2019,"7,205","6,640"
10/18/2019,"7,188","6,776"
10/19/2019,"3,653","3,567"
10/20/2019,"1,982","2,059"
10/21/2019,"6,840","6,519"
10/22/2019,"7,120","6,704"
10/23/2019,"7,308","6,822"
10/24/2019,"7,221","6,459"
10/25/2019,"7,411","6,703"
10/26/2019,"3,890","3,786"
10/27/2019,"2,715","2,697"
10/28/2019,"6,776","6,373"
10/29/2019,"7,094","6,492"
10/30/2019,"7,221","6,745"
10/31/2019,"6,880","6,434"
11/1/2019,"6,806","6,306"
11/2/2019,"4,964","4,609"
11/3/2019,"2,447","2,508"
11/4/2019,"6,553","6,173"
11/5/2019,"6,711","6,115"
11/6/2019,"7,129","6,716"
11/7/2019,"7,062","6,774"
11/8/2019,"7,014","6,526"
11/9/2019,"3,649","2,974"
11/10/2019,"2,519","2,301"
11/12/2019,"6,777","6,413"
11/13/2019,"7,079","6,556"
11/14/2019,"7,160","6,616"
11/15/2019,"7,017","6,287"
11/16/2019,"3,666","3,411"
11/17/2019,"2,418","2,274"
11/18/2019,"6,761","6,426"
11/19/2019,"7,062","6,435"
11/20/2019,"7,150","6,604"
11/21/2019,"7,135","6,480"
11/22/2019,"7,002","6,386"
11/23/2019,"3,302","3,004"
