,Total Entries,Total Exits
1/1/2019,933,"1,101"
1/2/2019,"3,826","3,703"
1/3/2019,"4,083","4,037"
1/4/2019,"3,987","3,870"
1/5/2019,"1,337","1,350"
1/6/2019,907,958
1/7/2019,"3,948","4,063"
1/8/2019,"4,608","4,465"
1/9/2019,"4,365","4,250"
1/10/2019,"4,154","4,052"
1/11/2019,"4,089","3,982"
1/12/2019,"1,670","1,612"
1/13/2019,693,721
1/14/2019,"1,885","1,900"
1/15/2019,"4,223","4,125"
1/16/2019,"4,293","4,211"
1/17/2019,"4,298","4,144"
1/18/2019,"4,601","4,459"
1/19/2019,"1,858","1,853"
1/20/2019,"1,137","1,195"
1/22/2019,"4,389","4,171"
1/23/2019,"4,380","4,260"
1/24/2019,"4,294","4,245"
1/25/2019,"4,043","3,966"
1/26/2019,"1,497","1,511"
1/27/2019,996,"1,101"
1/28/2019,"4,754","4,606"
1/29/2019,"4,765","4,768"
1/30/2019,"4,020","3,849"
1/31/2019,"4,481","4,447"
2/1/2019,"4,482","4,382"
2/2/2019,"1,726","1,655"
2/3/2019,"1,315","1,340"
2/4/2019,"4,910","4,786"
2/5/2019,"5,457","5,377"
2/6/2019,"5,123","5,028"
2/7/2019,"5,403","5,328"
2/8/2019,"4,857","4,717"
2/9/2019,"2,345","2,230"
2/10/2019,"1,394","1,412"
2/11/2019,"4,258","4,197"
2/12/2019,"4,818","4,734"
2/13/2019,"5,088","4,969"
2/14/2019,"5,112","4,966"
2/15/2019,"4,693","4,507"
2/16/2019,"2,150","2,100"
2/17/2019,"1,422","1,438"
2/19/2019,"4,933","4,915"
2/20/2019,"1,033","1,063"
2/21/2019,"4,855","4,703"
2/22/2019,"4,849","4,700"
2/23/2019,"1,910","1,953"
2/24/2019,"1,471","1,532"
2/25/2019,"4,635","4,538"
2/26/2019,"5,485","5,402"
2/27/2019,"5,178","5,133"
2/28/2019,"5,095","5,016"
3/1/2019,"4,115","4,077"
3/2/2019,"1,812","1,822"
3/3/2019,"1,138","1,252"
3/4/2019,"4,744","4,762"
3/5/2019,"5,268","5,191"
3/6/2019,"5,193","5,056"
3/7/2019,"5,155","5,007"
3/8/2019,"4,962","4,888"
3/9/2019,"1,970","1,981"
3/10/2019,"1,509","1,596"
3/11/2019,"4,967","4,887"
3/12/2019,"5,412","5,251"
3/13/2019,"5,303","5,193"
3/14/2019,"5,273","5,233"
3/15/2019,"5,146","4,871"
3/16/2019,"2,467","2,404"
3/17/2019,"1,275","1,303"
3/18/2019,"5,092","4,949"
3/19/2019,"5,514","5,345"
3/20/2019,"5,773","5,655"
3/21/2019,"5,221","5,165"
3/22/2019,"5,179","4,971"
3/23/2019,"2,410","2,361"
3/24/2019,"2,143","2,189"
3/25/2019,"5,216","5,131"
3/26/2019,"5,858","5,691"
3/27/2019,"5,361","5,269"
3/28/2019,"5,929","5,762"
3/29/2019,"5,425","5,168"
3/30/2019,"5,213","5,170"
3/31/2019,"2,061","2,114"
4/1/2019,"5,498","5,437"
4/2/2019,"6,150","5,966"
4/3/2019,"6,551","6,481"
4/4/2019,"6,308","6,194"
4/5/2019,"5,426","5,241"
4/6/2019,"6,928","6,606"
4/7/2019,"3,177","3,297"
4/8/2019,"5,374","5,306"
4/9/2019,"6,018","5,832"
4/10/2019,"5,687","5,644"
4/11/2019,"5,891","5,693"
4/12/2019,"5,296","5,152"
4/13/2019,"5,298","5,160"
4/14/2019,"1,812","1,844"
4/15/2019,"5,168","5,157"
4/16/2019,"5,779","5,487"
4/17/2019,"5,803","5,646"
4/18/2019,"6,008","5,814"
4/19/2019,"4,457","4,507"
4/20/2019,"2,935","2,901"
4/21/2019,"1,382","1,428"
4/22/2019,"5,193","5,023"
4/23/2019,"5,609","5,571"
4/24/2019,"5,799","5,625"
4/25/2019,"5,664","5,573"
4/26/2019,"5,131","5,047"
4/27/2019,"3,117","3,149"
4/28/2019,"1,902","1,966"
4/29/2019,"5,035","5,006"
4/30/2019,"5,581","5,541"
5/1/2019,"5,571","5,495"
5/2/2019,"5,668","5,635"
5/3/2019,"5,102","5,067"
5/4/2019,"2,508","2,565"
5/5/2019,"1,082","1,192"
5/6/2019,"5,281","5,140"
5/7/2019,"5,831","5,721"
5/8/2019,"5,720","5,613"
5/9/2019,"5,635","5,469"
5/10/2019,"4,966","4,941"
5/11/2019,"2,417","2,445"
5/12/2019,"1,147","1,234"
5/13/2019,"4,909","4,783"
5/14/2019,"5,926","5,848"
5/15/2019,"5,954","5,754"
5/16/2019,"5,976","5,812"
5/17/2019,"5,617","5,362"
5/18/2019,"2,879","2,910"
5/19/2019,"1,655","1,687"
5/20/2019,"5,309","5,134"
5/21/2019,"5,899","5,847"
5/22/2019,"5,850","5,718"
5/23/2019,"5,530","5,464"
5/24/2019,"5,195","5,142"
5/25/2019,"2,909","2,903"
5/26/2019,"2,319","2,296"
5/27/2019,"2,332","2,302"
5/28/2019,"5,273","5,238"
5/29/2019,"5,601","5,546"
5/30/2019,"5,646","5,574"
5/31/2019,"5,331","5,017"
6/1/2019,"2,376","2,410"
6/2/2019,"1,502","1,520"
6/3/2019,"5,643","5,614"
6/4/2019,"6,224","6,030"
6/5/2019,"6,229","6,129"
6/6/2019,"5,853","5,682"
6/7/2019,"5,484","5,310"
6/8/2019,"4,065","3,713"
6/9/2019,"2,195","2,309"
6/10/2019,"5,701","5,647"
6/11/2019,"6,746","6,535"
6/12/2019,"6,671","6,483"
6/13/2019,"5,834","5,731"
6/14/2019,"5,615","5,523"
6/15/2019,"3,060","2,949"
6/16/2019,"1,703","1,753"
6/17/2019,"5,454","5,438"
6/18/2019,"6,217","6,086"
6/19/2019,"5,990","5,832"
6/20/2019,"6,211","6,008"
6/21/2019,"6,108","5,874"
6/22/2019,"3,557","3,513"
6/23/2019,"2,223","2,282"
6/24/2019,"5,597","5,575"
6/25/2019,"6,219","6,128"
6/26/2019,"5,913","5,804"
6/27/2019,"5,876","5,702"
6/28/2019,"5,397","5,270"
6/29/2019,"2,613","2,583"
6/30/2019,"1,555","1,649"
7/1/2019,"5,682","5,532"
7/2/2019,"5,919","5,879"
7/3/2019,"5,715","5,585"
7/5/2019,"4,284","4,343"
7/6/2019,"2,587","2,607"
7/7/2019,"1,616","1,618"
7/8/2019,"5,127","5,025"
7/9/2019,"6,123","6,025"
7/10/2019,"6,208","5,987"
7/11/2019,"5,996","5,779"
7/12/2019,"5,987","5,709"
7/13/2019,"2,521","2,452"
7/14/2019,"1,534","1,605"
7/15/2019,"5,566","5,503"
7/16/2019,"5,958","5,746"
7/17/2019,"5,945","5,790"
7/18/2019,"5,898","5,771"
7/19/2019,"5,511","5,228"
7/20/2019,"2,778","2,739"
7/21/2019,"1,786","1,780"
7/22/2019,"5,534","5,446"
7/23/2019,"6,266","6,107"
7/24/2019,"6,157","6,093"
7/25/2019,"6,483","6,130"
7/26/2019,"5,995","5,805"
7/27/2019,"3,636","3,590"
7/28/2019,"2,163","2,409"
7/29/2019,"5,413","5,346"
7/30/2019,"6,358","6,037"
7/31/2019,"5,740","5,576"
8/1/2019,"5,851","5,667"
8/2/2019,"5,160","5,075"
8/3/2019,"2,769","2,593"
8/4/2019,"1,898","1,781"
8/5/2019,"5,434","5,262"
8/6/2019,"5,661","5,531"
8/7/2019,"5,633","5,442"
8/8/2019,"5,552","5,385"
8/9/2019,"5,160","4,959"
8/10/2019,"2,319","2,280"
8/11/2019,"1,873","1,931"
8/12/2019,"5,314","5,097"
8/13/2019,"5,913","5,679"
8/14/2019,"5,716","5,646"
8/15/2019,"5,843","5,633"
8/16/2019,"5,294","5,119"
8/17/2019,"2,843","2,847"
8/18/2019,"1,879","1,805"
8/19/2019,"5,006","4,959"
8/20/2019,"5,472","5,352"
8/21/2019,"5,766","5,610"
8/22/2019,"5,408","5,280"
8/23/2019,"4,744","4,757"
8/24/2019,"2,437","2,457"
8/25/2019,"1,498","1,549"
8/26/2019,"5,085","5,026"
8/27/2019,"5,846","5,644"
8/28/2019,"5,782","5,647"
8/29/2019,"5,401","5,295"
8/30/2019,"4,923","4,858"
8/31/2019,"3,048","3,030"
9/1/2019,"1,741","1,791"
9/2/2019,"1,832","1,909"
9/3/2019,"5,416","5,270"
9/4/2019,"5,847","5,641"
9/5/2019,"5,690","5,554"
9/6/2019,"5,149","5,095"
9/7/2019,"2,348","2,309"
9/8/2019,"1,481","1,507"
9/9/2019,"5,295","5,257"
9/10/2019,"5,735","5,686"
9/11/2019,"5,766","5,565"
9/12/2019,"5,911","5,784"
9/13/2019,"5,737","5,565"
9/14/2019,"2,885","2,817"
9/15/2019,"1,737","1,793"
9/16/2019,"5,555","5,475"
9/17/2019,"5,971","5,821"
9/18/2019,"6,049","6,017"
9/19/2019,"5,838","5,709"
9/20/2019,"5,603","5,502"
9/21/2019,"3,021","2,999"
9/22/2019,"1,763","1,776"
9/23/2019,"5,514","5,423"
9/24/2019,"6,196","6,056"
9/25/2019,"6,250","6,113"
9/26/2019,"6,143","5,954"
9/27/2019,"6,062","5,852"
9/28/2019,"2,764","2,755"
9/29/2019,"1,891","1,911"
