,Total Entries,Total Exits
1/1/2019,375,455
1/2/2019,"5,289","5,508"
1/3/2019,"5,501","5,914"
1/4/2019,"4,833","5,271"
1/5/2019,566,841
1/6/2019,451,607
1/7/2019,"5,971","6,251"
1/8/2019,"6,316","6,598"
1/9/2019,"6,587","6,953"
1/10/2019,"6,368","6,772"
1/11/2019,"5,505","5,969"
1/12/2019,635,907
1/13/2019,333,435
1/14/2019,982,"1,195"
1/15/2019,"6,408","6,781"
1/16/2019,"6,561","7,187"
1/17/2019,"6,506","7,002"
1/18/2019,"5,783","6,273"
1/19/2019,995,"1,232"
1/20/2019,602,863
1/22/2019,"5,859","6,301"
1/23/2019,"6,243","6,706"
1/24/2019,"6,162","6,868"
1/25/2019,"4,879","5,742"
1/26/2019,501,882
1/27/2019,465,638
1/28/2019,"6,080","6,579"
1/29/2019,"6,591","6,891"
1/30/2019,"5,487","5,879"
1/31/2019,"6,632","7,095"
2/1/2019,"5,992","6,340"
2/2/2019,835,"1,055"
2/3/2019,597,638
2/4/2019,"6,474","6,869"
2/5/2019,"7,326","7,621"
2/6/2019,"7,341","7,719"
2/7/2019,"7,101","7,568"
2/8/2019,"6,143","6,646"
2/9/2019,"1,184","3,832"
2/10/2019,782,"1,867"
2/11/2019,"6,107","6,443"
2/12/2019,"7,027","7,640"
2/13/2019,"7,220","7,604"
2/14/2019,"6,938","7,671"
2/15/2019,"5,727","6,209"
2/16/2019,"1,436","1,904"
2/17/2019,728,925
2/19/2019,"6,884","7,301"
2/20/2019,666,781
2/21/2019,"6,337","6,958"
2/22/2019,"6,259","6,702"
2/23/2019,784,"1,057"
2/24/2019,720,806
2/25/2019,"6,886","7,332"
2/26/2019,"7,407","7,927"
2/27/2019,"7,308","7,894"
2/28/2019,"7,203","7,759"
3/1/2019,"5,577","6,027"
3/2/2019,964,"1,111"
3/3/2019,501,618
3/4/2019,"7,020","7,389"
3/5/2019,"7,325","7,787"
3/6/2019,"7,430","8,011"
3/7/2019,"7,230","7,757"
3/8/2019,"6,332","6,662"
3/9/2019,"1,102","1,498"
3/10/2019,605,821
3/11/2019,"6,603","7,035"
3/12/2019,"7,420","7,827"
3/13/2019,"7,367","7,945"
3/14/2019,"7,508","7,764"
3/15/2019,"6,038","6,295"
3/16/2019,925,"1,137"
3/17/2019,643,781
3/18/2019,"7,073","7,323"
3/19/2019,"7,625","8,105"
3/20/2019,"7,481","7,937"
3/21/2019,"7,891","8,143"
3/22/2019,"6,448","6,721"
3/23/2019,"1,020","1,371"
3/24/2019,900,"1,095"
3/25/2019,"6,867","7,119"
3/26/2019,"7,497","8,002"
3/27/2019,"7,275","7,846"
3/28/2019,"7,448","7,896"
3/29/2019,"6,027","6,619"
3/30/2019,"1,481","1,864"
3/31/2019,938,"1,073"
4/1/2019,"7,098","7,597"
4/2/2019,"7,488","8,124"
4/3/2019,"7,514","8,198"
4/4/2019,"7,384","7,975"
4/5/2019,"7,739","8,752"
4/6/2019,"2,646","3,564"
4/7/2019,"1,004","1,195"
4/8/2019,"7,135","7,431"
4/9/2019,"7,408","7,922"
4/10/2019,"7,269","7,685"
4/11/2019,"7,400","8,080"
4/12/2019,"5,975","6,439"
4/13/2019,"2,607","3,416"
4/14/2019,818,967
4/15/2019,"6,947","7,166"
4/16/2019,"5,767","6,195"
4/17/2019,"6,703","7,438"
4/18/2019,"7,171","7,640"
4/19/2019,"5,617","5,776"
4/20/2019,"1,178","1,445"
4/21/2019,653,766
4/22/2019,"6,576","6,842"
4/23/2019,"7,647","7,962"
4/24/2019,"7,891","8,237"
4/25/2019,"8,487","8,886"
4/26/2019,"7,170","7,478"
4/27/2019,"1,506","1,754"
4/28/2019,878,"1,094"
4/29/2019,"7,076","7,322"
4/30/2019,"7,476","7,919"
5/1/2019,"7,759","8,121"
5/2/2019,"7,803","7,833"
5/3/2019,"6,391","6,771"
5/4/2019,969,"1,131"
5/5/2019,643,771
5/6/2019,"7,037","7,320"
5/7/2019,"7,680","8,022"
5/8/2019,"7,759","8,156"
5/9/2019,"7,331","7,684"
5/10/2019,"6,158","6,521"
5/11/2019,"1,422","1,654"
5/12/2019,"1,239","1,484"
5/13/2019,"8,299","8,494"
5/14/2019,"8,968","9,288"
5/15/2019,"8,559","8,963"
5/16/2019,"7,866","8,405"
5/17/2019,"6,853","7,368"
5/18/2019,"1,252","1,317"
