,Total Entries,Total Exits
1/1/2019,"1,677","1,754"
1/2/2019,"6,317","5,924"
1/3/2019,"6,441","6,210"
1/4/2019,"5,777","5,628"
1/5/2019,"1,698","1,675"
1/6/2019,"1,392","1,328"
1/7/2019,"6,681","6,398"
1/8/2019,"7,054","6,864"
1/9/2019,"6,881","6,670"
1/10/2019,"6,492","6,421"
1/11/2019,"5,947","5,724"
1/12/2019,"2,200","1,840"
1/13/2019,"1,220",989
1/14/2019,"2,576","2,261"
1/15/2019,"6,740","6,577"
1/16/2019,"6,974","6,892"
1/17/2019,"6,807","6,920"
1/18/2019,"6,703","6,512"
1/19/2019,"2,272","2,349"
1/20/2019,"1,317","1,449"
1/22/2019,"6,641","6,398"
1/23/2019,"6,686","6,522"
1/24/2019,"6,651","6,563"
1/25/2019,"5,791","5,752"
1/26/2019,"1,822","1,826"
1/27/2019,"1,255","1,359"
1/28/2019,"7,389","7,095"
1/29/2019,"7,378","7,770"
1/30/2019,"5,447","5,306"
1/31/2019,"6,662","6,548"
2/1/2019,"6,163","6,063"
2/2/2019,"1,845","1,668"
2/3/2019,"1,391","1,466"
2/4/2019,"7,369","7,153"
2/5/2019,"7,928","7,783"
2/6/2019,"7,399","7,351"
2/7/2019,"7,793","7,630"
2/8/2019,"6,457","6,496"
2/9/2019,"2,500","2,207"
2/10/2019,"1,380","1,270"
2/11/2019,"6,674","6,348"
2/12/2019,"7,415","7,265"
2/13/2019,"7,781","7,672"
2/14/2019,"7,658","7,512"
2/15/2019,"6,435","6,335"
2/16/2019,"2,291","2,345"
2/17/2019,"1,438","1,536"
2/19/2019,"8,026","7,730"
2/20/2019,"1,319","1,287"
2/21/2019,"7,149","7,102"
2/22/2019,"6,617","6,556"
2/23/2019,"2,043","2,009"
2/24/2019,"1,681","1,706"
2/25/2019,"7,286","7,035"
2/26/2019,"7,865","7,702"
2/27/2019,"7,613","7,543"
2/28/2019,"7,671","7,497"
3/1/2019,"5,573","5,334"
3/2/2019,"2,143","1,910"
3/3/2019,"1,361","1,289"
3/4/2019,"7,351","7,181"
3/5/2019,"7,779","7,554"
3/6/2019,"7,638","7,430"
3/7/2019,"7,738","7,692"
3/8/2019,"7,005","6,934"
3/9/2019,"2,649","2,640"
3/10/2019,"1,854","1,924"
3/11/2019,"7,735","7,460"
3/12/2019,"8,107","7,861"
3/13/2019,"7,908","7,785"
3/14/2019,"8,000","8,099"
3/15/2019,"6,911","6,943"
3/16/2019,"2,933","2,479"
3/17/2019,"1,728","1,499"
3/18/2019,"7,690","7,430"
3/19/2019,"8,049","7,943"
3/20/2019,"8,339","8,084"
3/21/2019,"7,588","7,557"
3/22/2019,"7,010","6,880"
3/23/2019,"2,789","2,614"
3/24/2019,"2,244","2,083"
3/25/2019,"8,059","7,717"
3/26/2019,"8,615","8,338"
3/27/2019,"8,267","8,086"
3/28/2019,"9,006","9,094"
3/29/2019,"7,922","7,482"
3/30/2019,"7,006","6,813"
3/31/2019,"2,917","2,825"
4/1/2019,"8,496","8,261"
4/2/2019,"9,019","8,561"
4/3/2019,"9,308","8,952"
4/4/2019,"9,391","9,215"
4/5/2019,"7,527","7,560"
4/6/2019,"7,223","7,192"
4/7/2019,"3,895","4,038"
4/8/2019,"8,262","8,060"
4/9/2019,"8,694","8,531"
4/10/2019,"8,408","8,214"
4/11/2019,"8,648","8,432"
4/12/2019,"7,227","7,003"
4/13/2019,"5,687","5,485"
4/14/2019,"2,622","2,575"
4/15/2019,"7,851","7,643"
4/16/2019,"8,727","8,554"
4/17/2019,"8,490","8,494"
4/18/2019,"8,732","8,603"
4/19/2019,"6,013","6,286"
4/20/2019,"3,606","3,711"
4/21/2019,"1,889","2,100"
4/22/2019,"8,139","7,779"
4/23/2019,"8,439","8,166"
4/24/2019,"8,728","8,452"
4/25/2019,"8,623","8,480"
4/26/2019,"7,349","7,220"
4/27/2019,"4,205","3,970"
4/28/2019,"2,644","2,507"
4/29/2019,"8,157","7,824"
4/30/2019,"8,423","8,236"
5/1/2019,"8,400","8,243"
5/2/2019,"8,392","8,409"
5/3/2019,"7,023","7,276"
5/4/2019,"3,028","2,966"
5/5/2019,"1,652","1,659"
5/6/2019,"7,981","7,739"
5/7/2019,"8,315","8,111"
5/8/2019,"8,064","8,091"
5/9/2019,"8,170","8,117"
5/10/2019,"6,635","6,998"
5/11/2019,"2,573","2,662"
5/12/2019,"1,615","1,587"
5/13/2019,"7,900","7,475"
5/14/2019,"8,476","8,279"
5/15/2019,"8,738","8,635"
5/16/2019,"8,672","8,668"
5/17/2019,"7,952","7,780"
5/18/2019,"3,467","3,368"
5/19/2019,"2,466","2,436"
5/20/2019,"8,303","8,070"
5/21/2019,"8,807","8,559"
5/22/2019,"8,876","8,601"
5/23/2019,"8,538","8,563"
5/24/2019,"7,102","7,185"
5/25/2019,"3,992","3,826"
5/26/2019,"3,429","3,494"
5/27/2019,"3,301","3,043"
5/28/2019,"8,418","8,183"
5/29/2019,"8,684","8,489"
5/30/2019,"8,499","8,408"
5/31/2019,"7,414","7,300"
6/1/2019,"2,835","2,828"
6/2/2019,"2,219","2,091"
6/3/2019,"8,634","8,360"
