,Total Entries,Total Exits
1/1/2019,"3,081","2,916"
1/2/2019,"3,553","3,478"
1/3/2019,"3,825","3,624"
1/4/2019,"3,919","3,713"
1/5/2019,"1,931","1,922"
1/6/2019,"1,537","1,632"
1/7/2019,"4,113","4,159"
1/8/2019,"4,597","4,430"
1/9/2019,"4,619","4,386"
1/10/2019,"4,633","4,331"
1/11/2019,"4,487","4,444"
1/12/2019,"2,069","2,117"
1/13/2019,"1,765","1,758"
1/14/2019,"3,402","3,458"
1/15/2019,"5,165","5,107"
1/16/2019,"5,362","5,022"
1/17/2019,"5,424","5,026"
1/18/2019,"5,419","5,007"
1/19/2019,"2,848","2,703"
1/20/2019,"1,787","1,665"
1/22/2019,"4,186","4,268"
1/23/2019,"4,569","4,372"
1/24/2019,"4,841","4,492"
1/25/2019,"4,904","4,519"
1/26/2019,"2,219","2,160"
1/27/2019,"1,929","1,976"
1/28/2019,"4,369","4,342"
1/29/2019,"4,684","4,616"
1/30/2019,"4,545","4,279"
1/31/2019,"4,492","4,272"
2/1/2019,"4,858","4,539"
2/2/2019,"2,631","2,697"
2/3/2019,"2,420","2,215"
2/4/2019,"4,981","4,795"
2/5/2019,"5,689","5,344"
2/6/2019,"5,156","4,882"
2/7/2019,"5,554","5,109"
2/8/2019,"5,862","5,606"
2/9/2019,"2,842","1,917"
2/10/2019,"1,490","1,175"
2/11/2019,"4,482","4,517"
2/12/2019,"4,681","4,543"
2/13/2019,"5,117","4,961"
2/14/2019,"6,157","6,063"
2/15/2019,"6,698","6,609"
2/16/2019,"4,636","4,522"
2/17/2019,"3,534","3,101"
2/19/2019,"5,085","5,003"
2/20/2019,"2,194","2,050"
2/21/2019,"5,761","5,448"
2/22/2019,"5,592","5,396"
2/23/2019,"2,966","2,878"
2/24/2019,"2,175","2,101"
2/25/2019,"4,790","4,715"
2/26/2019,"5,147","4,983"
2/27/2019,"5,330","4,983"
2/28/2019,"5,296","5,100"
3/1/2019,"4,858","4,333"
3/2/2019,"2,975","2,904"
3/3/2019,"1,773","1,722"
3/4/2019,"4,991","4,895"
3/5/2019,"5,570","5,408"
3/6/2019,"5,229","5,257"
3/7/2019,"5,749","5,407"
3/8/2019,"5,379","4,874"
3/9/2019,"4,505","4,301"
3/10/2019,"3,147","3,092"
3/11/2019,"6,151","5,897"
3/12/2019,"6,345","6,035"
3/13/2019,"6,267","5,890"
3/14/2019,"6,586","6,100"
3/15/2019,"5,892","5,572"
3/16/2019,"4,342","4,299"
3/17/2019,"2,946","2,904"
3/18/2019,"5,410","5,137"
3/19/2019,"5,994","5,744"
3/20/2019,"6,484","6,224"
3/21/2019,"5,824","5,713"
3/22/2019,"7,322","7,066"
3/23/2019,"5,852","5,676"
3/24/2019,"5,173","4,647"
3/25/2019,"5,486","5,405"
3/26/2019,"6,124","5,726"
3/27/2019,"6,298","6,005"
3/28/2019,"7,154","6,708"
3/29/2019,"7,828","7,175"
3/30/2019,"8,935","8,516"
3/31/2019,"3,366","3,353"
4/1/2019,"5,929","5,624"
4/2/2019,"6,580","6,588"
4/3/2019,"9,326","9,179"
4/4/2019,"10,122","9,918"
4/5/2019,"8,749","8,332"
4/6/2019,"10,555","10,143"
4/7/2019,"6,728","6,083"
4/8/2019,"6,135","5,872"
4/9/2019,"6,291","5,913"
4/10/2019,"6,547","6,181"
4/11/2019,"6,710","6,121"
4/12/2019,"6,669","6,160"
4/13/2019,"7,196","6,908"
4/14/2019,"4,165","4,045"
4/15/2019,"6,905","6,541"
4/16/2019,"8,976","8,404"
4/17/2019,"9,428","8,883"
4/18/2019,"10,453","9,622"
4/19/2019,"6,556","6,133"
4/20/2019,"7,648","7,297"
4/21/2019,"3,983","3,628"
4/22/2019,"7,090","6,966"
4/23/2019,"6,756","6,463"
4/24/2019,"7,245","6,857"
4/25/2019,"7,432","6,743"
4/26/2019,"6,220","5,934"
4/27/2019,"6,047","5,813"
4/28/2019,"3,593","3,441"
4/29/2019,"5,748","5,490"
4/30/2019,"6,021","5,626"
5/1/2019,"5,775","5,491"
5/2/2019,"5,920","5,598"
5/3/2019,"5,970","5,442"
5/4/2019,"4,737","4,430"
5/5/2019,"2,208","2,235"
5/6/2019,"5,414","5,223"
5/7/2019,"6,263","6,106"
5/8/2019,"6,308","6,188"
5/9/2019,"6,220","5,725"
5/10/2019,"6,121","5,700"
5/11/2019,"4,684","4,558"
5/12/2019,"2,027","2,085"
5/13/2019,"5,026","4,882"
5/14/2019,"6,586","6,226"
5/15/2019,"7,356","7,021"
5/16/2019,"7,300","6,839"
5/17/2019,"6,984","6,402"
5/18/2019,"5,883","5,937"
5/19/2019,"4,077","4,093"
5/20/2019,"5,872","5,694"
5/21/2019,"6,483","6,290"
5/22/2019,"6,447","6,270"
5/23/2019,"6,656","6,280"
5/24/2019,"7,626","6,899"
5/25/2019,"6,775","6,408"
5/26/2019,"5,458","4,952"
5/27/2019,"4,339","4,173"
5/28/2019,"5,856","5,628"
5/29/2019,"6,243","5,935"
5/30/2019,"6,501","5,932"
5/31/2019,"6,945","6,160"
6/1/2019,"4,997","4,785"
6/2/2019,"3,700","3,734"
6/3/2019,"6,836","6,334"
6/4/2019,"7,408","7,129"
6/5/2019,"7,414","7,006"
6/6/2019,"7,303","6,830"
6/7/2019,"7,654","6,940"
6/8/2019,"7,661","7,573"
6/9/2019,"3,715","3,393"
6/10/2019,"6,203","5,998"
6/11/2019,"8,129","7,525"
6/12/2019,"8,242","7,190"
6/13/2019,"6,879","6,337"
6/14/2019,"8,054","7,382"
6/15/2019,"6,580","6,061"
6/16/2019,"4,123","3,994"
6/17/2019,"6,383","6,158"
6/18/2019,"7,059","6,665"
6/19/2019,"7,382","6,849"
6/20/2019,"7,354","6,960"
6/21/2019,"8,458","7,765"
6/22/2019,"7,332","7,189"
6/23/2019,"5,196","4,900"
6/24/2019,"6,962","6,719"
6/25/2019,"7,225","6,958"
6/26/2019,"7,755","7,123"
6/27/2019,"7,074","6,567"
6/28/2019,"7,167","6,495"
6/29/2019,"5,330","4,853"
6/30/2019,"4,075","3,826"
7/1/2019,"6,454","6,023"
7/2/2019,"6,255","5,877"
7/3/2019,"6,537","6,069"
